round,policyVersion,editDistance,normalizedEditDistance,acceptanceMetric,feasible
0,1,50,0.4808,0.5192,True
1,2,44,0.4231,0.5769,True
2,3,28,0.2692,0.7308,True
3,4,18,0.1731,0.8269,True
4,5,4,0.0385,0.9615,True
5,6,0,0.0,1.0,True
